checkpoint_id,band_min,sector,sector_ja,plot_lat,plot_lon,walk_min_from_core,spot_name,spot_category,spot_group,spot_lat,spot_lon,offset_m,Q1,Q2,Q3,Q4,Q5,quality_total,reason,source,origin,neighbours_15min,candidates_considered,runner_up_1,runner_up_2,runner_up_3
CP001,7,N,北,35.724692,139.773992,7.2,ねぎし三平堂,観光,文化財,35.724933,139.776224,203,0.8,1.0,1.0,1.0,1.0,0.92,区登録の文化財。短い屋号。仮プロットから203m。次点は子規庵（217m・品質0.92）で、距離で上回ったため採用。,台東区 施設地図情報(観光),185件から再利用,12,38,子規庵／名所・史跡／217m／品質0.92,東叡山養寿院／寺社／230m／品質0.92,書道博物館／文化／208m／品質0.884
CP002,7,NE,北東,35.724119,139.782508,7.8,鮨　明高勢,すし,食,35.7243,139.783401,83,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから83m。次点はりん（83m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,185件から再利用,14,64,りん／お好み焼き・もんじゃ／83m／品質1.0,花とく／とんかつ／139m／品質1.0,鮨創作料理奄美／すし／171m／品質1.0
CP003,7,NE,北東,35.71756,139.78501,7.2,有限会社　山田製麺所本店,そば,食,35.71777,139.78363,127,1.0,1.0,0.7,1.0,1.0,0.958,名物の一皿の業種。単店の屋号。仮プロットから127m。次点は廻転寿司　日本海（210m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,185件から再利用,14,53,廻転寿司　日本海／すし／210m／品質1.0,らーめん　サムライ／ラーメン／212m／品質1.0,蕎麦義／そば／220m／品質1.0
CP004,7,E,東,35.710618,139.786299,7.8,天福楼,ラーメン,食,35.710506,139.786392,15,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから15m。次点は喜多方食堂（63m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,185件から再利用,11,102,喜多方食堂／ラーメン／63m／品質1.0,蕎麦と日本酒　いちえ／そば／79m／品質0.958,砂場／そば／163m／品質1.0
CP005,7,SE,南東,35.704853,139.781613,6.8,お好み焼　巨峰,お好み焼き・もんじゃ,食,35.704144,139.782974,146,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから146m。次点はお好み焼　ガンクラ（163m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,185件から再利用,12,42,お好み焼　ガンクラ／お好み焼き・もんじゃ／163m／品質1.0,朝日寿司／すし／195m／品質1.0,お好み焼き　道草／お好み焼き・もんじゃ／216m／品質1.0
CP006,7,S,南,35.70045,139.775013,7.9,スパイスラーメン　卍力,ラーメン,食,35.701317,139.775864,123,1.0,1.0,0.7,1.0,1.0,0.958,名物の一皿の業種。単店の屋号。仮プロットから123m。次点は秋葉原拉麺劇場（199m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,12,75,秋葉原拉麺劇場／ラーメン／199m／品質1.0,そば処 更科 前田屋／そば／227m／品質1.0,更科／そば／228m／品質1.0
CP007,7,SW,南西,35.704478,139.768072,7.3,古拙,そば,食,35.704988,139.767923,58,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから58m。次点は湯島らーめん（154m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,14,140,湯島らーめん／ラーメン／154m／品質1.0,花姫稲荷／史跡・記念物／44m／品質0.92,花姫稲荷／寺社／46m／品質0.92
CP008,7,W,西,35.710402,139.762893,6.2,大聖寺藩由来記,史跡・記念物,史跡,35.71115,139.763709,111,0.8,1.0,1.0,0.8,1.0,0.884,史跡・記念物。短い屋号。仮プロットから111m。次点は江戸上屋敷址（114m・品質0.884）で、距離で上回ったため採用。,OpenStreetMap,新規選定,9,41,江戸上屋敷址／史跡・記念物／114m／品質0.884,IZASA／ラーメン／272m／品質1.0,家家家／ラーメン／276m／品質1.0
CP009,7,W,西,35.717224,139.763543,6.4,岡村屋,ラーメン,食,35.717535,139.764775,116,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから116m。次点は妙極院（134m・品質0.92）で、品質で上回ったため採用。,OpenStreetMap,新規選定,11,29,妙極院／寺社／134m／品質0.92,霊雲寺／史跡・記念物／154m／品質0.92,弥生式土器発掘ゆかりの地／史跡・記念物／132m／品質0.842
CP010,14,N,北,35.728528,139.774006,13.9,けん太,ラーメン,食,35.728326,139.772732,117,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから117m。次点はとなり（120m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,14,35,となり／お好み焼き・もんじゃ／120m／品質1.0,たらく／すし／133m／品質1.0,麺屋 ふじ田／ラーメン／185m／品質1.0
