item_id,kind,name,category,lat,lon,coord_quality,address,ward,machiaza,google_place_id,google_rating,google_reviews,google_lat,google_lon,picked_by,picked_at,note
"文化財:岡倉天心記念公園:35.726373,139.766555",文化財,岡倉天心記念公園,名所・史跡,35.726373,139.766555,point,谷中5-7,台東区,谷中,,,,,,栗原,2026-08-17T11:04:19.999Z,
"文化財:延寿寺:35.71932,139.767543",文化財,延寿寺,文化財のある寺社,35.71932,139.767543,chome,東京都台東区谷中1丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:07:26.804Z,
"文化財:寛永寺:35.721389,139.774306",文化財,寛永寺,文化財のある寺社,35.721389,139.774306,point,東京都台東区上野桜木1丁目,台東区,上野桜木,,,,,,栗原,2026-08-17T11:07:40.824Z,
"文化財:天王寺:35.726583,139.771361",文化財,天王寺,文化財のある寺社,35.726583,139.771361,point,東京都台東区谷中7丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:07:46.605Z,
"文化財:旧吉田屋酒店:35.721331,139.770917",文化財,旧吉田屋酒店,有形民俗文化財,35.721331,139.770917,chome,東京都台東区上野桜木2丁目10番6号,台東区,上野桜木,,,,,,栗原,2026-08-17T11:07:47.612Z,
"文化財:報恩寺:35.712944,139.784667",文化財,報恩寺,文化財のある寺社,35.712944,139.784667,point,東京都台東区東上野6丁目,台東区,東上野,,,,,,栗原,2026-08-17T11:07:48.490Z,
"文化財:自性院:35.721833,139.769222",文化財,自性院,文化財のある寺社,35.721833,139.769222,point,東京都台東区谷中6丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:07:49.552Z,
"文化財:天龍院:35.723583,139.766833",文化財,天龍院,文化財のある寺社,35.723583,139.766833,point,東京都台東区谷中4丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:07:50.472Z,
"文化財:養寿院:35.720447,139.770152",文化財,養寿院,文化財のある寺社,35.720447,139.770152,chome,東京都台東区上野桜木1丁目,台東区,上野桜木,,,,,,栗原,2026-08-17T11:07:54.029Z,
"文化財:護国院:35.719306,139.770167",文化財,護国院,文化財のある寺社,35.719306,139.770167,point,東京都台東区上野公園,台東区,上野公園,,,,,,栗原,2026-08-17T11:07:56.718Z,
"文化財:全生庵:35.724222,139.766806",文化財,全生庵,文化財のある寺社,35.724222,139.766806,point,東京都台東区谷中5丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:07:58.620Z,
"文化財:唯念寺:35.710861,139.7835",文化財,唯念寺,文化財のある寺社,35.710861,139.7835,point,東京都台東区元浅草2丁目,台東区,元浅草,,,,,,栗原,2026-08-17T11:08:01.089Z,
"文化財:覚音寺:35.707892,139.786369",文化財,覚音寺,文化財のある寺社,35.707892,139.786369,chome,東京都台東区元浅草3丁目,台東区,元浅草,,,,,,栗原,2026-08-17T11:08:03.724Z,
"文化財:長安寺ほか:35.72441,139.768063",文化財,長安寺ほか,文化財のある寺社,35.72441,139.768063,chome,東京都台東区谷中5丁目ほか,台東区,谷中,,,,,,栗原,2026-08-17T11:08:05.725Z,
"文化財:西蔵院:35.724,139.781444",文化財,西蔵院,文化財のある寺社,35.724,139.781444,point,東京都台東区根岸3丁目,台東区,根岸,,,,,,栗原,2026-08-17T11:08:07.532Z,
"文化財:世尊寺:35.723762,139.782708",文化財,世尊寺,文化財のある寺社,35.723762,139.782708,chome,東京都台東区根岸3丁目,台東区,根岸,,,,,,栗原,2026-08-17T11:08:08.428Z,
"文化財:安立院:35.727344,139.769368",文化財,安立院,文化財のある寺社,35.727344,139.769368,chome,東京都台東区谷中7丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:08:11.373Z,
"文化財:長安寺:35.725222,139.768444",文化財,長安寺,文化財のある寺社,35.725222,139.768444,point,東京都台東区谷中5丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:08:22.754Z,
"文化財:瑞輪寺:35.723139,139.768389",文化財,瑞輪寺,文化財のある寺社,35.723139,139.768389,point,東京都台東区谷中4丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:08:24.143Z,
"文化財:多宝院:35.722611,139.769667",文化財,多宝院,文化財のある寺社,35.722611,139.769667,point,東京都台東区谷中6丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:08:26.696Z,
"文化財:称念寺:35.708519,139.785969",文化財,称念寺,文化財のある寺社,35.708519,139.785969,point,東京都台東区元浅草3丁目,台東区,元浅草,,,,,,栗原,2026-08-17T11:08:27.643Z,
"文化財:宗賢寺:35.713389,139.766611",文化財,宗賢寺,文化財のある寺社,35.713389,139.766611,point,東京都台東区池之端2丁目,台東区,池之端,,,,,,栗原,2026-08-17T11:08:31.708Z,
"文化財:正行院:35.722716,139.767424",文化財,正行院,文化財のある寺社,35.722716,139.767424,chome,東京都台東区谷中4丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:08:55.369Z,
"文化財:明王院:35.72441,139.768063",文化財,明王院,文化財のある寺社,35.72441,139.768063,chome,東京都台東区谷中5丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:08:56.339Z,
"文化財:仏心寺:35.720556,139.768111",文化財,仏心寺,文化財のある寺社,35.720556,139.768111,point,東京都台東区谷中1丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:08:59.520Z,
"文化財:谷中霊園:35.727344,139.769368",文化財,谷中霊園,文化財のある寺社,35.727344,139.769368,chome,東京都台東区谷中7丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:09:00.703Z,
"文化財:横山大観記念館:35.712167,139.76825",文化財,横山大観記念館,文化財のある寺社,35.712167,139.76825,point,東京都台東区池之端1丁目,台東区,池之端,,,,,,栗原,2026-08-17T11:09:02.474Z,
"文化財:東本願寺:35.711806,139.789444",文化財,東本願寺,文化財のある寺社,35.711806,139.789444,point,東京都台東区西浅草1丁目,台東区,西浅草,,,,,,栗原,2026-08-17T11:12:08.590Z,
"文化財:天嶽院:35.714833,139.790917",文化財,天嶽院,文化財のある寺社,35.714833,139.790917,point,東京都台東区西浅草3丁目,台東区,西浅草,,,,,,栗原,2026-08-17T11:12:30.717Z,
"文化財:玉林寺:35.72,139.767",文化財,玉林寺,文化財のある寺社,35.72,139.767,point,東京都台東区谷中1丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:12:36.202Z,
"文化財:誓教寺:35.709415,139.78668",文化財,誓教寺,文化財のある寺社,35.709415,139.78668,chome,東京都台東区元浅草4丁目,台東区,元浅草,,,,,,栗原,2026-08-17T11:12:37.162Z,
"文化財:立善寺:35.724778,139.766389",文化財,立善寺,文化財のある寺社,35.724778,139.766389,point,東京都台東区谷中5丁目,台東区,谷中,,,,,,栗原,2026-08-17T11:12:38.822Z,
"文化財:感応寺:35.722019,139.783591",文化財,感応寺,文化財のある寺社,35.722019,139.783591,chome,東京都台東区下谷2丁目,台東区,下谷,,,,,,栗原,2026-08-17T11:12:40.804Z,
"文化財:源空寺:35.714444,139.784722",文化財,源空寺,文化財のある寺社,35.714444,139.784722,point,東京都台東区東上野6丁目,台東区,東上野,,,,,,栗原,2026-08-17T11:12:41.913Z,
