kind,layer,category,name,lat,lon,coord_quality,address,ward,machiaza,dist_ueno_m,source,congestion_m,congestion_near
飲食店,食べる,飲食店営業（すし屋）,まぐろ人　新仲見世通り店,35.711681,139.797363,point,浅草一丁目１番１１号,台東区,浅草,2110,台東区 食品衛生営業施設一覧,73,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,寿司　えどまる浅草本店,35.711681,139.797363,point,浅草一丁目１番１１号,台東区,浅草,2110,台東区 食品衛生営業施設一覧,73,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,つきじ喜代村　すしざんまい　浅草雷門店,35.711124,139.795547,point,浅草一丁目３番６号,台東区,浅草,1964,台東区 食品衛生営業施設一覧,110,雷門
飲食店,食べる,飲食店営業（すし屋）,宝来鮨本店,35.711185,139.794998,point,浅草一丁目４番３号,台東区,浅草,1915,台東区 食品衛生営業施設一覧,160,雷門
飲食店,食べる,飲食店営業（すし屋）,金ずし,35.711281,139.795441,point,浅草一丁目４番１１号,台東区,浅草,1951,台東区 食品衛生営業施設一覧,125,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,三松,35.711586,139.793869,point,浅草一丁目６番５号,台東区,浅草,1805,台東区 食品衛生営業施設一覧,249,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,鮨　鶴岡,35.711586,139.793869,point,浅草一丁目６番５号,台東区,浅草,1805,台東区 食品衛生営業施設一覧,249,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,房寿,35.711689,139.793198,point,浅草一丁目８番５号,台東区,浅草,1743,台東区 食品衛生営業施設一覧,308,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,（有）浅草壽司清,35.711533,139.792984,point,浅草一丁目９番８号,台東区,浅草,1729,台東区 食品衛生営業施設一覧,329,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,寿司初　総本店,35.711849,139.79303,point,浅草一丁目１２番１０号,台東区,浅草,1724,台東区 食品衛生営業施設一覧,322,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,常寿司,35.71196,139.794113,point,浅草一丁目１５番７号,台東区,浅草,1816,台東区 食品衛生営業施設一覧,225,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,紀文寿司,35.711594,139.795395,point,浅草一丁目１７番１０号,台東区,浅草,1938,台東区 食品衛生営業施設一覧,114,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,金太楼鮨　浅草中央店,35.711441,139.795456,point,浅草一丁目１７番１２号,台東区,浅草,1948,台東区 食品衛生営業施設一覧,115,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,ＳＵＳＨＩ　ＧＡＲＹＵ　ＡＳＡＫＵＳＡ,35.711269,139.796082,point,浅草一丁目１８番３号,台東区,浅草,2007,台東区 食品衛生営業施設一覧,76,雷門
飲食店,食べる,飲食店営業（すし屋）,浅草すし若　雷門店,35.711525,139.795563,point,浅草一丁目１８番８号,台東区,浅草,1955,台東区 食品衛生営業施設一覧,102,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,元祖寿司　浅草本店,35.711746,139.796829,point,浅草一丁目１９番７号,台東区,浅草,2061,台東区 食品衛生営業施設一覧,27,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,浅草寿司場　ひなと丸　雷門店,35.711563,139.796112,point,浅草一丁目２０番３号,台東区,浅草,2002,台東区 食品衛生営業施設一覧,58,仲見世通り
飲食店,食べる,飲食店営業（すし屋）,日向丸,35.711868,139.795853,point,浅草一丁目２０番１０号,台東区,浅草,1972,台東区 食品衛生営業施設一覧,68,仲見世通り
